gene,malig_mean,ref_mean,spec
AC005944.2,0.00010780932119908673,0.00017437948279660465,-6.657016159751791e-05
AC006004.1,0.00039317150991748795,4.8282916478001165e-05,0.0003448885934394868
AC006007.1,0.000993489710843842,0.0,0.000993489710843842
AC006129.2,9.551878535813046e-05,0.012675519040446788,-0.012580000255088658
AC006273.4,6.88485217382161e-05,0.00016731065595154224,-9.846213421332614e-05
AC006369.2,5.485595397229464e-06,0.0007422957396013391,-0.0007368101442041096
AC006449.2,0.003032187760953586,0.0019193000033908964,0.0011128877575626898
AC006460.2,0.00026075641010238386,0.0003590161732517766,-9.825976314939276e-05
AC006942.4,0.00012503377343920838,0.00012576814376612632,-7.343703269179316e-07
AC006994.2,0.00037089451371566373,0.0004858821894819893,-0.00011498767576632559
AC007009.1,0.00016680266797843146,0.0003516976143972136,-0.00018489494641878214
AC007036.6,9.484013705167414e-06,0.00016425321633168786,-0.00015476920262652046
AC007038.7,3.242204091901367e-05,0.00014347162853405564,-0.00011104958761504197
AC007098.1,8.267536738268869e-05,0.00014945405047714363,-6.677868309445495e-05
AC007193.10,0.00012799963896264704,0.0,0.00012799963896264704
AC007228.11,0.0001245230627138288,6.975479148880779e-05,5.476827122502103e-05
AC007228.9,4.1248229443030665e-05,0.00019228488010843652,-0.00015103665066540584
AC007246.3,0.002371037200230891,0.0032733147758762277,-0.0009022775756453365
AC007292.3,0.0014530128451999615,0.0019094112421018433,-0.0004563983969018818
AC007292.4,0.0001592377556492245,7.547401340145532e-05,8.376374224776917e-05
AC007319.1,0.005860529953551716,0.0005808625886645959,0.00527966736488712
AC007325.2,0.000162194177607138,1.9146243816854743e-05,0.00014304793379028326
AC007325.4,0.025868572008914396,0.010439181223059061,0.015429390785855335
AC007349.4,0.00010038373122317128,0.0001476488810029861,-4.7265149779814815e-05
AC007364.1,0.00668757301166082,0.0016780737593803782,0.005009499252280442
AC007365.1,0.0029026912007630934,0.0016512950562919345,0.0012513961444711589
AC007365.3,2.504523242591859e-05,0.00011047105764978977,-8.542582522387119e-05
AC007381.3,0.0,5.647700243044887e-05,-5.647700243044887e-05
AC007383.3,0.0025754774599225537,0.001016023982733001,0.0015594534771895528
AC007389.3,0.0003783522455866151,0.00018374650132392244,0.00019460574426269267
AC007405.6,0.0002870565771387889,4.510590481005272e-05,0.0002419506723287362
AC007563.5,0.000560049024801618,0.0,0.000560049024801618
AC007566.10,1.6326400820165662e-05,0.00015223399770529568,-0.00013590759688513002
AC007620.3,0.0008643047562320413,0.0004261065544817523,0.000438198201750289
AC007743.1,0.006147435798382407,0.008643868326350222,-0.002496432527967815
AC007773.2,0.00010566154116104733,0.00010248702516110976,3.174515999937569e-06
AC007879.2,0.00048780105334718583,0.00021863477087766562,0.0002691662824695202
AC007879.3,0.0004949940301938479,0.002331097010314759,-0.0018361029801209111
AC007950.1,6.271097415418515e-05,0.00022929650962048555,-0.0001665855354663004
