,malignant_class1,malignant_class2,Tcell,Myeloid,Bcell,Endo,Fibroblast
SLC1A7,8.087679402094157,3.531193616941711,0.7780037087256051,0.30779481330151154,1.1927801109643137,1.2015894575030186,3.1769345781486256
SLC26A10,1.9817990084112387,29.03379070725633,0.0,0.14366755143132998,0.3858344305598384,0.5182477596248853,3.031677598278581
SLC26A7,0.14514750035939944,22.91641053584926,0.1676455424959362,0.32070983486944304,0.8348427842018736,1.3224100690360008,1.9720385197175456
SLC37A2,2.993779553066627,1.099081762864738,0.904263346015793,26.33689827728439,1.56904857975722,1.8454068939890305,3.2582280555432344
SLC7A10,4.330424142938087,4.033590969013843,0.32853544821139213,0.8707158433065878,1.6604295917391965,2.5870620593693974,8.074740407660045
SLCO2B1,114.90178349897414,6.04526828607586,5.020269566757282,516.2309021242878,4.833834740415797,20.345945231109788,68.0296338252641
SLPI,68.8773300024788,54.63451698956357,1.2418127596942208,10.745056741964955,51.517635467860345,3.3718698205550712,143.25201613051405
SMIM1,13.995081098546503,3.861116525758922,2.0595374777246205,3.716611251398504,4.731631164617957,4.518766592144674,6.313235356569318
SMIM4,27.807995240935835,31.057527195220327,23.039416022553283,28.460941857220234,23.31346181448162,25.64517021257782,52.18240933836404
SNAP25,1.9225880301605511,13.000165812132515,0.1757773464780198,0.20465595939586595,0.07633002694433211,1.5974562982577114,0.7273045438279386
SNHG19,10.583483592170303,18.38132661926781,8.693911450094015,3.9141868681606873,9.561551399437063,7.985897760599875,46.06763870146326
SNTG1,0.2183838824094132,6.242165560792311,0.09632209126104468,0.07439086606514499,0.0,0.0,0.5420956567441607
SNX22,0.6075440763480522,1.1081717075579616,0.5975291293611408,0.6434577117462048,11.166638001484044,1.0198527273692597,1.1310964846477112
SOX17,27.351236899858982,3.8813917847815422,0.8358603293910639,2.328373667387038,2.216155705286236,308.9480609045389,10.591982638866885
SOX2,1.1133636338541317,33.92798289726492,0.0439376292104328,0.2024983760136636,0.06423863578347114,0.02168468396459689,0.5836920586814112
SOX7,7.421249836591508,2.4475404072702096,0.3805188071742945,0.8088629515736728,0.821067206778229,63.53493644168737,2.437144921400142
SPAAR,4.524981770227881,3.083354115662048,0.17278404565707847,0.4091736015454528,0.5772346896088476,65.85223157298022,3.2950231059657553
SPIB,2.633926014409844,1.0697663692943875,1.268843606972429,8.486903276518058,58.418160407832744,9.980591513279503,1.702411300727115
SPOCK2,41.13091302894521,8.294917394808527,283.88684128788464,1.0421827992837465,57.5973358970285,27.34575408447818,10.674841995023188
SPOCK3,0.22721728834974897,6.618042019022706,0.0353431823001343,0.15802009152336158,0.1892480525023642,0.0,0.24705326039038927
SPTY2D1,29.081551773805035,36.04181102911157,65.33549722408647,49.934627415567356,55.51967976331875,45.510613386810505,192.9785107677504
SPTY2D1OS,3.0367083157923025,3.789379817477323,1.5879955779267394,2.079231006855148,2.6942416376189713,2.1479938801381815,32.87171143570671
SST,9.100711585134638,5.491962612537556,0.018360094701368467,0.0681124673060157,0.0,0.0,0.20439161449222093
ST6GALNAC3,3.9197030685865246,2.436977104028518,2.2125821134247614,2.3879773029986238,3.024742688096782,58.44142762203349,3.5875089391869044
ST6GALNAC5,0.05612882521345897,5.1844336120123815,0.2551582782513438,0.07441057733570859,0.18272307835562474,0.0,0.19368371232824658
ST8SIA1,3.02537829509488,8.48943244790578,10.340211424899676,2.3256964125975386,1.2248635386066398,2.6924677410283673,24.2169894870591
STAB1,127.02037885685371,7.412305292653139,3.56449111546957,635.1491648319474,3.748104868492905,63.74827975513321,62.19928308516481
STAG3,4.4396146395080045,5.5890390173602285,8.044825213233786,2.1712034450198585,65.68611352161416,5.083354446915598,1.825623767851878
STAP1,2.4753453070526255,0.18263108151347202,1.7472711215797556,1.4359952345226796,24.535265718846365,1.4013585926121102,0.4118950624496062
STARD4-AS1,2.23594229545164,14.324356385591313,0.4572925535535581,0.45491574675448115,0.8010675286431442,1.259835260277539,2.0273326947091648
STEAP4,54.98323484120977,80.23926375236186,7.664850926179383,21.099591557371483,50.078198559301356,72.52905501445679,157.56503572310618
SYN2,3.4459430700088305,1.1526697032411761,0.022838890016241876,0.755268193376441,0.7419131155061991,37.779245336256125,2.3303493781761477
TAC1,0.4578560052573457,26.11338712540378,0.03390360683584381,0.3228727600531166,0.19216200029679348,0.0,1.4174652443066391
TADA1,6.519430444264568,73.18507041577293,2.886201161455667,1.8425989830079328,2.984415680144805,3.308844911315656,3.071485294834644
TARID,0.38852105282614147,11.330638318551683,0.057844028825528485,0.06642818070905605,0.3150348338269886,0.25300335851723194,0.6864107997852534
TBXAS1,29.4631207555253,1.7474426592832775,9.161027478407837,144.62431100450124,21.574165255584692,18.505803888150332,15.512668601047324
TCEAL2,6.187155875153769,1.1570016631249624,0.30355412220363237,0.03258707097399305,1.606948343980676,0.5088050957489866,0.5748252770926012
TCF15,5.0415137948267805,3.5661004546466524,0.11236956191453525,0.9579045668662699,2.998367753492743,83.89001248557372,5.012333022756808
TCF21,18.542849197781784,125.08443609218921,0.5583981824436745,1.3915837188391078,3.013500332679442,2.8457275551955443,17.404847417853656
TCL1A,5.1722959525188905,0.26528913811366717,0.5584550338214593,0.6410522005913406,140.60586897684846,14.20128374068035,1.6264406158987976
TDO2,3.319512152390655,47.50280757402087,0.14192326564494062,0.7914177349676291,0.38046592973775784,0.4407598929642271,2.8676737885479855
TEK,5.467027103659179,2.651480923784465,0.2640951916465716,0.6255841933513422,0.24379254881002976,51.221161262834386,3.8744792944421005
TERT,0.051662621999990284,10.123893092022646,0.0698179685390226,0.13498838702359783,0.07371521975437104,0.0,0.039969731721561895
TESPA1,8.762881966538874,1.5789318815637077,40.260603371427145,0.3523109070774997,9.055191566378962,2.23721693218384,2.109320417414572
TFRC,44.62401633097821,33.59900491331704,36.25648095788167,513.4501233279284,44.96291515694505,53.34974362250573,60.063568006220954
TGM1,6.773590789765574,0.4946572952124275,1.23624469021411,0.2896810145619497,2.366308976259924,0.07755909293759006,0.4905297133238478
THBS1,79.08486857588062,130.4525156725177,6.729643274772629,725.7026350491949,64.872468157356,158.40256026648916,83.53616466244368
THEMIS,6.434188484131423,0.866291677894957,51.711473443692945,0.15382598030570935,2.9369390942441687,1.219840907350341,2.206138104791704
