symbol,baseMean,log2 Fold Change,lfcSE,pvalue,padj
CCDC69,1391.509465,-1.518463786,0.426274425,0.000367796,0.027039533
RND1,50.15868628,-1.519151916,0.426969947,0.000373713,0.027039533
LCK,838.2292086,-1.771526214,0.497810011,0.000372781,0.027039533
ANKRD33B,333.855254,-1.424446277,0.400257896,0.000372523,0.027039533
GABBR1,1845.001952,1.232923392,0.346823839,0.000378126,0.027105721
HLA-DQB1,12645.08682,-1.745291217,0.491378885,0.000382571,0.027105721
UBE2Q2P1,74.20033797,1.303854131,0.367227121,0.000384444,0.027105721
LAPTM5,17466.49833,-1.482851289,0.417048628,0.000377141,0.027105721
SIGLEC10,430.1415572,-1.551570406,0.436870476,0.000382959,0.027105721
CD40LG,89.73832927,-1.896003426,0.533924292,0.000383666,0.027105721
GRAP,474.3367487,-1.56918725,0.442414631,0.000389837,0.027254025
SLC4A3,491.3559005,1.715342393,0.483558912,0.000389159,0.027254025
CMYA5,183.4649365,1.715716991,0.484295982,0.000396048,0.027468439
SGCD,6037.657077,1.600702271,0.451845285,0.000396219,0.027468439
UPB1,27.82120893,-1.968995609,0.556070112,0.000398746,0.027528413
LYST,14140.71085,1.376137742,0.389128311,0.000405524,0.027880184
CLCN3,7399.256266,0.802048724,0.227015844,0.000410861,0.028130363
LDB3,1469.415346,1.895899615,0.536941747,0.000414113,0.028236392
AKNA,1970.982954,-1.350366979,0.383766113,0.000433628,0.029445816
DOK3,723.2268045,-1.419962854,0.404092622,0.000441489,0.029857297
CRMP1,502.1599843,1.371809788,0.390823376,0.000448022,0.030013234
HLA-DMA,6475.873651,-1.500493057,0.427605542,0.000449695,0.030013234
TYROBP,4691.605345,-1.620325427,0.461710514,0.000449124,0.030013234
SIGLEC12,109.9914943,-1.898444647,0.541135022,0.000451041,0.030013234
CD300LF,381.6824889,-1.588066167,0.453175504,0.000457797,0.030220073
ANKRD55,22.60797902,-1.725856794,0.492348269,0.000455994,0.030220073
ADORA3,879.6666366,-1.61398042,0.460993342,0.000463355,0.030232914
FLCN,1384.970844,0.632959999,0.180792564,0.000463466,0.030232914
SLC25A27,672.0396487,1.484905741,0.424032712,0.000462012,0.030232914
TAGAP,729.5478403,-1.47219639,0.420758684,0.000467166,0.030236212
HLA-DRB5,10684.89358,-1.641746012,0.469131475,0.000466056,0.030236212
GRIN3A,103.7442877,-1.299880015,0.371837676,0.000472596,0.030436099
TCEAL4,3374.747755,0.554247372,0.158579522,0.000473928,0.030436099
EDARADD,527.9660924,-1.471608139,0.421351045,0.000478353,0.030601675
MIR3685,9.142675184,1.619186289,0.464255799,0.000487189,0.030928111
SPOCK2,1331.721221,-1.572217044,0.450738726,0.000486485,0.030928111
LINC00920,517.1924303,1.544822372,0.443429801,0.000494342,0.031262412
ZMAT3,4831.166575,1.008154218,0.289470967,0.000496297,0.03126669
NPIPA5,2236.313943,0.856211107,0.246163895,0.000504764,0.031679659
GAPT,376.0643403,-1.746648982,0.502511423,0.000509257,0.031721365
CD7,262.5880616,-1.821527438,0.524053801,0.000509255,0.031721365
ARHGDIB,8833.293223,-1.347265645,0.38796582,0.000515366,0.031981647
PDE7A,1491.479654,-0.846857108,0.244023561,0.000519702,0.032130365
DLEU1,437.5044909,0.732021161,0.211139922,0.000526311,0.032194008
CORO2B,2525.073181,1.772129021,0.511307402,0.000528503,0.032194008
ABHD12B,218.2329279,1.926693372,0.555609136,0.000524906,0.032194008
SLC25A53,101.9563949,-1.336859809,0.385655332,0.000527355,0.032194008
